lag_days,correlation
-20,0.3474771768861847
-19,0.34275094540958095
-18,0.338891905596582
-17,0.3340062818885776
-16,0.32789224519200794
-15,0.321083803217952
-14,0.3124985905944155
-13,0.30594369636688323
-12,0.2998568387558118
-11,0.29381091684773036
-10,0.29007777092556164
-9,0.28683851515904385
-8,0.28338798610652877
-7,0.2792163904136982
-6,0.2747900592603924
-5,0.26993150772399177
-4,0.2650670500577114
-3,0.2624701450670157
-2,0.25904224130298775
-1,0.25498147610996585
0,0.25094346825753244
1,0.24444832655153143
2,0.23794504840282465
3,0.23216550623124707
4,0.22668228889556435
5,0.22259558751468228
6,0.21883429732201798
7,0.21500432741121817
8,0.21209558358698943
9,0.20798575387587828
10,0.2031298883057495
11,0.19828119553964027
12,0.19380256774168567
13,0.18919220402620907
14,0.18527481576105315
15,0.18274768344746006
16,0.1810837089710841
17,0.17896066757681892
18,0.1785031319475586
19,0.17772655359993547
20,0.17696771535865646
