peak_date,drawdown_start,max_drawdown,lead_time_days
2006-05-09,2006-05-23,-0.5518943786008919,1
2007-02-20,2007-03-02,-0.5518943786008919,15
2007-07-19,2007-07-27,-0.5518943786008919,6
2007-10-09,2007-11-07,-0.5518943786008919,6
2012-09-14,2012-11-08,-0.33717266428472736,10
2013-05-21,2013-06-24,-0.33717266428472736,21
2013-12-31,2014-02-03,-0.33717266428472736,7
2014-09-18,2014-10-10,-0.33717266428472736,20
2015-07-20,2015-08-21,-0.33717266428472736,0
2016-06-08,2016-06-27,-0.33717266428472736,23
2018-01-26,2018-02-05,-0.33717266428472736,3
2018-09-20,2018-10-11,-0.33717266428472736,11
2019-05-03,2019-05-29,-0.33717266428472736,0
2019-07-26,2019-08-05,-0.33717266428472736,5
2020-02-19,2020-02-25,-0.33717266428472736,0
2020-09-02,2020-09-08,-0.09440417699328951,0
